,comments,Sentiment,Translation,TranslationSentiment
0,"电影非常热闹笑点不断，背景音乐全部是华语曾经流行曲，仿佛置身于大华超市。
这个电影其实不是讲亚裔的故事，而是讲有钱人的故事，我们都误会了",0.0,"The movie is very lively and laughter. The background music is all popular in Chinese, as if it were in Dahua Supermarket. This movie is not a story about Asians, but a story about rich people. We all misunderstood.",0.28806818181818183
1,本来小说就很烂，电影拍出来更烂。种族歧视？并没有，只不过是民主党在试探亚裔愿不愿意当左派的吉祥物而已，或者愿不愿意被利用当枪使，full Asian cast 所以必须支持？凭什么。NYT说什么你都信NYT是你妈啊。这部电影不就是在说你看我们多元吧，虽然跟真正的亚洲人没关系，但你敢不支持吗？我敢，fuck you，libertard,0.0,"Originally, the novel was very bad, and the film was even worse. Racial discrimination? No, it’s just that the Democratic Party is testing the mascots of Asians who are willing to be leftists, or are they willing to be used as guns, full Asian cast so must support? Why? NYT said what you believe NYT is your mother. This movie is not just saying that you see our diversity. Although it has nothing to do with real Asians, do you dare not support it? I dare, fuck you, libertard",-0.03166666666666665
2,对这种左宗棠鸡式亚裔片还是接受无能...美国人你们开心就好🙄,0.0,I still accept incompetence for this kind of Zuo Zongtang-style Asian film... Americans are happy.,0.4666666666666666
3,白人电影只需要讲好一个故事就可以了 所以我们为何要苛求这部片去represent亚洲文化的所有复杂性？男女主确实是路人般的感情线 以及为了迎合美国观众而去exoticize&caricature亚洲文化 但是 《喜福会》后25年来第一部全亚洲卡司的major studio电影 很多insider梗只有亚洲人才能理解（我还向同事解释了麻将那一幕的隐喻）能看到自己人出现在大银幕上 以及制作方对多元尽量的表现 和strong female leads 真的很激动人心 真的很重要 pet peeve可以暂时停一停 先来celebrate 支持票房吧 才有机会看到更多亚洲故事,0.0,"White movies only need to tell a story, so why should we demand this film to represent all the complexity of Asian culture? The men and women are indeed passers-by, and they want to meet the American audience and go to exoticize & caricature Asian culture. But in the 25 years after the &quot;Happiness Club&quot;, the first major Asian Asian movie studio movie, many insider stalks can only be understood by Asians (I still Explain to colleagues the metaphor of Mahjong&#39;s scene. It can be seen that people appear on the big screen and the producers are as excited as possible about the diversity and strong female leads. It is really very important that pet peeve can temporarily stop and come first. Celebrate support box office to have the opportunity to see more Asian stories",0.14454166666666665
4,This is a story about a bunch of whites pretending to be Asian...,0.0,This is a story about a bunch of whites pretending to be Asian...,0.0
5,好莱坞版小时代。结尾毁全片，难道不应该拍两人得到杨紫琼默许后，回到纽约过舒心的中产小日子么？一下子被豪门接纳，紧接着就是纸醉金迷大爬梯，女主被富人们diss了那么久，转眼就无缝融入还无比享受，excuse me?,0.0,"The small version of the Hollywood version. The end of the ruin of the whole film, shouldn&#39;t you take two people to get Yang Ziqiong&#39;s acquiescence, back to New York to have a comfortable middle-class small day? All of a sudden was accepted by the giants, followed by the drunken golden ladder, the female host was dissed for so long by the rich, and it was seamlessly integrated in the blink of an eye, excuse me?",0.07010489510489509
6,继黑豹之后的又一部太监电影 这种急于讨好白人主子的东西和大部分生长在美国的亚裔一样地位尴尬 本身的文化已被阉割又渴望被他人承认 这真不是一般的恶心 亚裔在好莱坞没希望了,0.0,"After the Panthers, another eunuch movie, which is eager to please the white master, has the same status as most Asians who grow up in the United States. Its own culture has been castrated and eager to be recognized by others. This is not a general disgusting Asian. Hollywood has no hope",0.01071428571428574
7,通篇土鳖的掉渣，感觉看了一嘴沙子。一堆长着亚洲脸的外星人掉在钱堆里一边开豪华轰趴一边呻吟谁稀罕钱我要爱情。米国出生的大把ABC就是以这种抽自己嘴巴的方式取悦白人老帽儿并以为自己也跟着长脸了么？,0.0,"Throughout the soil, I felt a bit of sand. A bunch of aliens with Asian faces fell in the pile of money while driving a luxurious bang, and whoever had rare money, I want love. Is ABC, born in the country of the United States, please use this way of mouth to please the white old hat and think that he has followed his face?",0.18
8,"打麻将只聊天不好好打牌是对牌友的不尊重....感谢这部电影，这是近年来第一部完全亚裔阵容的好莱坞电影（上一部是 喜福会 The Joy Luck Club,1993）。电影用一个更西化的背景（新加坡）希望改变对亚洲人（尤其中国人）刻板印象（不够有魅力），从这个角度它是成功的。虽然没有陷入到（中国电影常犯的这样错误）流水展示纸醉金迷生活，但本质上还是西方普世价值观的导向，潜意识中还是有亚洲人“不懂拒绝”的设置，对于海外华人的文化传承上看，早年所保留的传统已经和目前的习惯有所不同，这大概也会是是否对电影认同的一种困扰吧（本片美国上映期间将有英语发音汉语字幕场，欢迎中国人来影院看.....）",0.8,"Playing mahjong is only a bad chat. Playing cards is a disrespect for your friends.... Thanks to this movie, this is the first full-Asian lineup of Hollywood movies in recent years (the last one was The Joy Luck Club, 1993). The film uses a more western background (Singapore) to change the stereotype (not enough charm) for Asians (especially Chinese), and from this perspective it is successful. Although he did not fall into the trap of the Chinese film&#39;s common mistakes, it is essentially the orientation of Western universal values. In the subconscious, there are still Asians who do not understand the rejection, and the cultural heritage of overseas Chinese. Look, the traditions retained in the early years have been different from the current habits. This may also be a problem with the recognition of the film. (This film will have English pronunciation in Chinese subtitles during the US release, welcome Chinese to the theater to see .....)",0.09259259259259262
9,果真美国小时代，剧情脚趾都能想得到，连人物都是完全照搬美式爱情轻喜的，加上一些特有的什么“全亚洲都是我们家的”玛丽苏式意淫。都说ABC是香蕉人，这部亚洲首富应该是香蕉电影吧。影片口口声声说我们亚洲人跟你们美国人整天谈梦想不一样，结果难道不是被美国人的“梦想”洗脑了嘛？要透过皮肤颜色看本质啊，美国的少数族裔群体还有好长的路要走，这部电影，不够造成什么积极影响。还是比较喜欢看小偷家族那种Crazy Poor Asians,-0.4,"If the United States is a small era, the story can be thought of, even the characters are completely copying the American love ecstasy, plus some unique &quot;all Asia is our family&quot; Mary Su-style obscenity. It is said that ABC is a banana man. This Asian richest man should be a banana movie. The film keeps saying that we Asians are not the same as your Americans talking about their dreams all day. Isn’t the result being brainwashed by the Americans’ &quot;dreams&quot;? To see the essence through the color of the skin, the ethnic minority groups in the United States still have a long way to go. This film is not enough to cause any positive impact. Still prefer to look at the thief family Crazy Poor Asians",-0.008143939393939398
